domain,hostname,ip,TLSRedirect,TLSSiteExist,serialNumber,notValidBefore,notValidAfter,signatureHashAlgorithm,statusCode,statusMessage,issuerCommonName,Server,X-Powered-By,asn,asnCountryCode,isp,formFields,siteTitle,shodan_ports,shodan_last_update,html_size
1govnet,1govserv.1govnet.gov.my,203.12.220.140,True,True,29674122057683722225586492364,2017-04-25 08:16:11,2019-04-26 08:16:11,sha256,1,Pass,AlphaSSL CA - SHA256 - G2,Apache,n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,|icno|katalaluan|submit_login,1GovServ,80|,2018-02-19T05:50:17.126890,2409
mygeoportal,1malaysiamap.mygeoportal.gov.my,103.8.160.33,False,False,,,,,,,,Microsoft-IIS/7.5,ASP.NET,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,,1Malaysia Map,,,5912
treasury,1pp.treasury.gov.my,103.8.144.196,False,False,,,,,,,,n/a,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,,Portal 1PP,80|,2018-03-04T00:17:02.159232,243465
jkr,3ps.jkr.gov.my,43.252.232.157,True,True,115707565092734639685285563808875739530,2017-06-19 00:00:00,2019-08-19 23:59:59,sha256,0,"Host did not provide intermediate certs, unable to build trust chain",COMODO RSA Organization Validation Secure Server CA,n/a,PHP/5.5.38,AS38044,MY,GITN-NETWORK GITN-NETWORK,,Sistem 3Ps,443|80|,2018-03-02T14:12:05.225799,7280
rurallink,aardo19.rurallink.gov.my,150.242.181.32,True,True,3881514861980723470563805829213680537,2017-08-01 00:00:00,2019-08-08 12:00:00,sha256,1,Pass,DigiCert SHA2 Secure Server CA,Apache,PHP/5.6.32,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|searchword|task|option|Itemid,Home,80|443|,2018-02-25T02:50:07.598441,49169
